timeOpen;timeClose;timeHigh;timeLow;open;high;low;close;volume;marketCap;timestamp
"2023-11-30T00:00:00.000Z";"2023-11-30T23:59:59.999Z";"2023-11-30T04:17:00.000Z";"2023-11-30T21:16:00.000Z";223.2944324271;223.5107722858;220.7736269221;221.5819083102;110706490.22;4337118248.56;"2023-11-30T23:59:59.999Z"
"2023-11-29T00:00:00.000Z";"2023-11-29T23:59:59.999Z";"2023-11-29T10:03:00.000Z";"2023-11-29T15:16:00.000Z";223.4554143476;226.6064737278;221.6746824493;223.2935995278;141670438.1;4370419559.1;"2023-11-29T23:59:59.999Z"
"2023-11-28T00:00:00.000Z";"2023-11-28T23:59:59.999Z";"2023-11-28T17:26:00.000Z";"2023-11-28T06:08:00.000Z";223.3897551904;224.7074543117;220.2102957156;223.4595373326;156921548.45;4373462077.49;"2023-11-28T23:59:59.999Z"
"2023-11-27T00:00:00.000Z";"2023-11-27T23:59:59.999Z";"2023-11-27T02:14:00.000Z";"2023-11-27T19:51:00.000Z";226.901577904;228.846937679;220.5201472921;223.3904329826;183614196.73;4371914127.73;"2023-11-27T23:59:59.999Z"
"2023-11-26T00:00:00.000Z";"2023-11-26T23:59:59.999Z";"2023-11-26T08:35:00.000Z";"2023-11-26T16:37:00.000Z";227.5326729383;229.6196407982;223.9496552366;226.910144851;128228138.36;4440591825.46;"2023-11-26T23:59:59.999Z"
"2023-11-25T00:00:00.000Z";"2023-11-25T23:59:59.999Z";"2023-11-25T03:16:00.000Z";"2023-11-25T11:48:00.000Z";226.5035593551;228.1522544887;226.0471467309;227.5141262145;111650919.13;4452186964.85;"2023-11-25T23:59:59.999Z"
"2023-11-24T00:00:00.000Z";"2023-11-24T23:59:59.999Z";"2023-11-24T15:46:00.000Z";"2023-11-24T09:10:00.000Z";225.2831023699;228.7765650663;224.9115434232;226.5084343634;140230461.41;4432311380.92;"2023-11-24T23:59:59.999Z"
"2023-11-23T00:00:00.000Z";"2023-11-23T23:59:59.999Z";"2023-11-23T03:40:00.000Z";"2023-11-23T15:34:00.000Z";224.0614392444;227.2238187065;222.4351777604;225.2827455211;134136472.77;4408083545.32;"2023-11-23T23:59:59.999Z"
"2023-11-22T00:00:00.000Z";"2023-11-22T23:59:59.999Z";"2023-11-22T22:14:00.000Z";"2023-11-22T00:02:00.000Z";217.1029244993;224.6216498285;216.433585773;224.0798564128;176249941.16;4384399689.54;"2023-11-22T23:59:59.999Z"
"2023-11-21T00:00:00.000Z";"2023-11-21T23:59:59.999Z";"2023-11-21T09:13:00.000Z";"2023-11-21T23:04:00.000Z";226.5194906894;234.4349112293;214.9573286303;217.1041664905;283335681.4;4247697293.43;"2023-11-21T23:59:59.999Z"
