timeOpen;timeClose;timeHigh;timeLow;open;high;low;close;volume;marketCap;timestamp
"2023-11-30T00:00:00.000Z";"2023-11-30T23:59:59.999Z";"2023-11-30T19:33:00.000Z";"2023-11-30T02:01:00.000Z";165.9745863732;170.2251947351;165.9310529017;169.7876982585;76512145.19;3118153781.34;"2023-11-30T23:59:59.999Z"
"2023-11-29T00:00:00.000Z";"2023-11-29T23:59:59.999Z";"2023-11-29T00:02:00.000Z";"2023-11-29T17:22:00.000Z";167.7594668621;167.8254423599;165.1117704523;165.964671039;81460214.68;3047873425.11;"2023-11-29T23:59:59.999Z"
"2023-11-28T00:00:00.000Z";"2023-11-28T23:59:59.999Z";"2023-11-28T20:07:00.000Z";"2023-11-28T06:08:00.000Z";165.5404875305;167.9109521253;164.2759264328;167.7353593925;76428347.56;3080319638.8;"2023-11-28T23:59:59.999Z"
"2023-11-27T00:00:00.000Z";"2023-11-27T23:59:59.999Z";"2023-11-27T05:35:00.000Z";"2023-11-27T19:01:00.000Z";169.4975469322;170.325003429;165.1465666616;165.5349232262;86930867.8;3039837070.27;"2023-11-27T23:59:59.999Z"
"2023-11-26T00:00:00.000Z";"2023-11-26T23:59:59.999Z";"2023-11-26T06:00:00.000Z";"2023-11-26T16:37:00.000Z";172.0168654012;172.9309426843;168.2270445418;169.5430480501;59499987.37;3113370963.86;"2023-11-26T23:59:59.999Z"
"2023-11-25T00:00:00.000Z";"2023-11-25T23:59:59.999Z";"2023-11-25T20:20:00.000Z";"2023-11-25T00:21:00.000Z";170.4662058834;172.741938674;169.8665037076;172.0189763544;67521431.15;3158758341.85;"2023-11-25T23:59:59.999Z"
"2023-11-24T00:00:00.000Z";"2023-11-24T23:59:59.999Z";"2023-11-24T20:54:00.000Z";"2023-11-24T00:13:00.000Z";166.0848274075;171.2775401638;165.92785681;170.4581150325;84379575.98;3130024787.96;"2023-11-24T23:59:59.999Z"
"2023-11-23T00:00:00.000Z";"2023-11-23T23:59:59.999Z";"2023-11-23T21:08:00.000Z";"2023-11-23T00:01:00.000Z";163.2212761076;167.8196385868;163.1427216495;166.0904099391;82643483.69;3049751169.81;"2023-11-23T23:59:59.999Z"
"2023-11-22T00:00:00.000Z";"2023-11-22T23:59:59.999Z";"2023-11-22T19:10:00.000Z";"2023-11-22T02:11:00.000Z";159.2237725291;163.8899506162;158.7203202257;163.2819875701;86263978.18;2998112005.34;"2023-11-22T23:59:59.999Z"
"2023-11-21T00:00:00.000Z";"2023-11-21T23:59:59.999Z";"2023-11-21T12:59:00.000Z";"2023-11-21T23:04:00.000Z";163.1923749179;165.7831831829;158.5629720403;159.255595195;84676091.65;2924113891.74;"2023-11-21T23:59:59.999Z"
"2023-11-20T00:00:00.000Z";"2023-11-20T23:59:59.999Z";"2023-11-20T15:34:00.000Z";"2023-11-20T21:22:00.000Z";164.1624662859;164.9795047938;162.1706565342;163.2297691441;67592443.45;2997014221.86;"2023-11-20T23:59:59.999Z"
"2023-11-19T00:00:00.000Z";"2023-11-19T23:59:59.999Z";"2023-11-19T23:50:00.000Z";"2023-11-19T11:32:00.000Z";160.8080409204;164.2761171934;159.7030443027;164.1860087192;55034009.36;3014501909.42;"2023-11-19T23:59:59.999Z"
"2023-11-18T00:00:00.000Z";"2023-11-18T23:59:59.999Z";"2023-11-18T00:01:00.000Z";"2023-11-18T13:28:00.000Z";162.7144218846;162.853510616;159.508907071;160.8014766783;65270320.8;2952289638.78;"2023-11-18T23:59:59.999Z"
"2023-11-17T00:00:00.000Z";"2023-11-17T23:59:59.999Z";"2023-11-17T11:08:00.000Z";"2023-11-17T00:16:00.000Z";160.8291949132;167.0141805241;160.6358993952;162.6995345941;114301735.36;2987068079.1;"2023-11-17T23:59:59.999Z"
"2023-11-16T00:00:00.000Z";"2023-11-16T23:59:59.999Z";"2023-11-16T07:56:00.000Z";"2023-11-16T19:37:00.000Z";161.0225431011;162.7617562065;157.6798120962;160.7935913499;96827652.73;2952006615.93;"2023-11-16T23:59:59.999Z"
"2023-11-15T00:00:00.000Z";"2023-11-15T23:59:59.999Z";"2023-11-15T11:48:00.000Z";"2023-11-15T22:07:00.000Z";163.2618039832;166.4657152145;158.4632259764;161.0126733197;101369551.18;2955957248.38;"2023-11-15T23:59:59.999Z"
